PLU,Item,Price,CutType,PoundsSold
500,Boneless Breast,4.95,Chicken Breast,3000.1
501,10# or more,4.45,Chicken Breast,145
502,8-pc Cut-up Fryer,2.99,Traditional Chicken,631.1
504,Drumsticks,2.39,Traditional Chicken,387.4
506,Whole Fryer,1.99,Traditional Chicken,652.6
512,Breast - Boneless Stuffed,5.99,Chicken Breast,431
513,Wings,3.19,Traditional Chicken,641.5
2413,Italian,3.89,Chicken Sausage,186.6
2565,Buffalo,3.89,Chicken Sausage,224.9
2566,Apple Maple,3.89,Chicken Sausage,254.2
5011,Thin Chicken Breast,5.95,Chicken Breast,259.1
5014,Thighs,2.49,Traditional Chicken,297.8
5015,Thighs - Boneless,2.89,Traditional Chicken,609.1
5023,Split Fryer,2.99,Traditional Chicken,481.1
5027,Chicken Kabobs (seasoned),10.95,Traditional Chicken,581.4
5031,Breast - Bone-In Split with Skin,3.89,Chicken Breast,402.2
5055,Leg Quarters,2.19,Traditional Chicken,562.2
5060,Chicken Tenders,2.49,Traditional Chicken,585.5
5061,Stuffed Fryer,4.29,Traditional Chicken,556.4
5063,Chicken Backs,1.99,Traditional Chicken,426.2
5093,Orange Classic,5.69,Marinated Chicken,367.7
5094,Tomato Basil,5.69,Marinated Chicken,378.6
5095,Garlic Butter,5.69,Marinated Chicken,389.1
5096,Garlic Herb Parmesean,5.69,Marinated Chicken,400.7
5097,Lemon Pepper,5.69,Marinated Chicken,355.4
5098,Golden Italian,5.69,Marinated Chicken,286
5151,5# or more,4.45,Chicken Breast,499.6
8510,Breast - Ground(1# frozen) (Purple Packs),4.95,Chicken Breast,644.1
9922,40# Case,3.95,Chicken Breast,295.8
Evaluation Only. Created with Aspose.Cells for .NET.Copyright 2003 - 2022 Aspose Pty Ltd.
